"weekday","game_day","date","year","school","opponent","location","score","utsa_score","opponent_score","outcome","home_away"
"Saturday",2012-09-01,"September 1","2012","UTSA","South Alabama","Mobile, Ala.","33-31","33","31","Win","away"
"Saturday",2012-09-08,"September 8","2012","UTSA","Texas A&M-Commerce","Alamodome (San Antonio, Texas)","27-16","27","16","Win","home"
"Saturday",2012-09-15,"September 15","2012","UTSA","Georgia State","Atlanta, Ga.","38-14","38","14","Win","away"
"Saturday",2012-09-22,"September 22","2012","UTSA","Northwestern Oklahoma State","Alamodome (San Antonio, Texas)","56-3","56","3","Win","home"
"Saturday",2012-09-29,"September 29","2012","UTSA","New Mexico State","Las Cruces, N.M.","35-14","35","14","Win","away"
"Saturday",2012-10-13,"October 13","2012","UTSA","Rice","Houston, Texas","14-34","14","34","Loss","away"
"Saturday",2012-10-20,"October 20","2012","UTSA","San Jose State","Alamodome (San Antonio, Texas)","24-52","24","52","Loss","home"
"Saturday",2012-10-27,"October 27","2012","UTSA","Utah State","Alamodome (San Antonio, Texas)","17-48","17","48","Loss","home"
"Saturday",2012-11-03,"November 3","2012","UTSA","Lousiana Tech","Ruston, La.","27-51","27","51","Loss","away"
"Saturday",2012-11-10,"November 10","2012","UTSA","McNeese State","Alamodome (San Antonio, Texas)","31-24","31","24","Win","home"
"Saturday",2012-11-17,"November 17","2012","UTSA","Idaho","Moscow, Idaho","34-27","34","27","Win","away"
"Saturday",2012-11-24,"November 24","2012","UTSA","Texas State","Alamodome (San Antonio, Texas)","38-31","38","31","Win","home"
"Saturday",2013-08-31,"August 31","2013","UTSA","New Mexico","Albuquerque, N.M.","21-13","21","13","Win","away"
"Saturday",2013-09-07,"September 7","2013","UTSA","Oklahoma State","Alamodome (San Antonio, Texas)","35-56","35","56","Loss","home"
"Saturday",2013-09-14,"September 14","2013","UTSA","Arizona","Tucson, Ariz.","13-38","13","38","Loss","away"
"Saturday",2013-09-21,"September 21","2013","UTSA","UTEP","El Paso, Texas","32-13","32","13","Win","away"
"Saturday",2013-09-28,"September 28","2013","UTSA","Houston","Alamodome (San Antonio, Texas)","28-59","28","59","Loss","home"
"Saturday",2013-10-05,"October 5","2013","UTSA","Marshall","Huntington, W.Va.","10-34","10","34","Loss","away"
"Saturday",2013-10-12,"October 12","2013","UTSA","Rice","Alamodome (San Antonio, Texas)","21-27","21","27","Loss","home"
"Saturday",2013-10-26,"October 26","2013","UTSA","UAB","Alamodome (San Antonio, Texas)","52-31","52","31","Win","home"
"Saturday",2013-11-02,"November 2","2013","UTSA","Tulsa","Tulsa, Okla.","34-15","34","15","Win","away"
"Saturday",2013-11-09,"November 9","2013","UTSA","Tulane","Alamodome (San Antonio, Texas)","10-7","10","7","Win","home"
"Saturday",2013-11-23,"November 23","2013","UTSA","North Texas","Denton, Texas","21-13","21","13","Win","away"
"Saturday",2013-11-30,"November 30","2013","UTSA","Louisiana Tech","Alamodome (San Antonio, Texas)","30-10","30","10","Win","home"
"Friday",2014-08-29,"August 29","2014","UTSA","Houston","Houston, Texas","27-7","27","7","Win","away"
"Thursday",2014-09-04,"September 4","2014","UTSA","Arizona","Alamodome (San Antonio, Texas)","23-26","23","26","Loss","home"
"Saturday",2014-09-13,"September 13","2014","UTSA","Oklahoma State","Stillwater, Okla.","13-43","13","43","Loss","away"
"Saturday",2014-09-27,"September 27","2014","UTSA","Florida Atlantic","Boca Raton, Fla.","37-41","37","41","Loss","away"
"Saturday",2014-10-04,"October 4","2014","UTSA","New Mexico","Alamodome (San Antonio, Texas)","9-21","9","21","Loss","home"
"Saturday",2014-10-11,"October 11","2014","UTSA","FIU","Alamodome (San Antonio, Texas)","16-13","16","13","Win","home"
"Saturday",2014-10-18,"October 18","2014","UTSA","Louisiana Tech","Ruston, La.","20-27","20","27","Loss","away"
"Saturday",2014-10-25,"October 25","2014","UTSA","UTEP","Alamodome (San Antonio, Texas)","0-34","0","34","Loss","home"
"Saturday",2014-11-08,"November 8","2014","UTSA","Rice","Houston, Texas","7-17","7","17","Loss","away"
"Thursday",2014-11-13,"November 13","2014","UTSA","Southern Miss","Alamodome (San Antonio, Texas)","12-10","12","10","Win","home"
"Saturday",2014-11-22,"November 22","2014","UTSA","Western Kentucky","Bowling Green, Ky.","7-45","7","45","Loss","away"
"Saturday",2014-11-29,"November 29","2014","UTSA","North Texas","Alamodome (San Antonio, Texas)","34-27","34","27","Win","home"
"Thursday",2015-09-03,"September 3","2015","UTSA","Arizona","Tucson, Ariz.","32-42","32","42","Loss","away"
"Saturday",2015-09-12,"September 12","2015","UTSA","Kansas State","Alamodome (San Antonio, Texas)","3-30","3","30","Loss","home"
"Saturday",2015-09-19,"September 19","2015","UTSA","Oklahoma State","Stillwater, Okla.","14-69","14","69","Loss","away"
"Saturday",2015-09-26,"September 26","2015","UTSA","Colorado State","Alamodome (San Antonio, Texas)","31-33","31","33","Loss","home"
"Saturday",2015-10-03,"October 3","2015","UTSA","UTEP","El Paso, Texas","25-6","25","6","Win","away"
"Saturday",2015-10-10,"October 10","2015","UTSA","Louisiana Tech","Alamodome (San Antonio, Texas)","31-34","31","34","Loss","home"
"Saturday",2015-10-17,"October 17","2015","UTSA","Southern Miss","Hattiesburg, Miss.","10-32","10","32","Loss","away"
"Saturday",2015-10-31,"October 31","2015","UTSA","North Texas","Denton, Texas","23-30","23","30","Loss","away"
"Saturday",2015-11-07,"November 7","2015","UTSA","Old Dominion","Alamodome (San Antonio, Texas)","31-36","31","36","Loss","home"
"Saturday",2015-11-14,"November 14","2015","UTSA","Charlotte","Charlotte, N.C.","30-27","30","27","Win","away"
"Saturday",2015-11-21,"November 21","2015","UTSA","Rice","Alamodome (San Antonio, Texas)","34-24","34","24","Win","home"
"Saturday",2015-11-28,"November 28","2015","UTSA","Middle Tennessee","Alamodome (San Antonio, Texas)","7-42","7","42","Loss","home"
"Saturday",2016-09-03,"September 3","2016","UTSA","Alabama State","San Antonio, Texas — Alamodome","26-13","26","13","Win","home"
"Saturday",2016-09-10,"September 10","2016","UTSA","Colorado State","Fort Collins, Colo.","14-23","14","23","Loss","away"
"Friday",2016-09-16,"September 16","2016","UTSA","Arizona State","San Antonio, Texas — Alamodome","28-32","28","32","Loss","home"
"Saturday",2016-09-24,"September 24","2016","UTSA","Old Dominion","Norfolk, Va.","19-33","19","33","Loss","away"
"Saturday",2016-10-08,"October 8","2016","UTSA","Southern Miss","San Antonio, Texas — Alamodome","55-32","55","32","Win","home"
"Saturday",2016-10-15,"October 15","2016","UTSA","Rice","Houston, Texas","14-13","14","13","Win","away"
"Saturday",2016-10-22,"October 22","2016","UTSA","UTEP","San Antonio, Texas — Alamodome","49-52","49","52","Loss","home"
"Saturday",2016-10-29,"October 29","2016","UTSA","North Texas","San Antonio, Texas — Alamodome","31-17","31","17","Win","home"
"Saturday",2016-11-05,"November 5","2016","UTSA","Middle Tennessee","Murfreesboro, Tenn.","45-25","45","25","Win","away"
"Saturday",2016-11-12,"November 12","2016","UTSA","Louisiana Tech","Ruston, La.","35-63","35","63","Loss","away"
"Saturday",2016-11-19,"November 19","2016","UTSA","Texas A&M","College Station, Texas","10-23","10","23","Loss","away"
"Saturday",2016-11-26,"November 26","2016","UTSA","Charlotte","San Antonio, Texas — Alamodome","33-14","33","14","Win","home"
"Saturday",2016-12-17,"December 17","2016","UTSA","New Mexico","Albuquerque, N.M.","20-23","20","23","Loss","away"
"Saturday",2017-09-09,"September 9","2017","UTSA","Baylor","Waco, Texas","17-10","17","10","Win","away"
"Saturday",2017-09-16,"September 16","2017","UTSA","Southern","San Antonio, Texas — Alamodome","51-17","51","17","Win","home"
"Saturday",2017-09-23,"September 23","2017","UTSA","Texas State","San Marcos, Texas","44-14","44","14","Win","away"
